x_k,direct_quadrature_coupling,final_mode_population,final_mode_population_density,broadened_reconstruction_weight
-1.997500000000000142e+01,2.789819796660561978e-03,2.529438645855827497e-08,5.058877291711655126e-07,6.539672182108021617e-06
-1.992500000000000071e+01,2.796813737204717400e-03,2.205093317332982624e-08,4.410186634665964983e-07,6.572512005289472236e-06
-1.987500000000000000e+01,2.803842815457028691e-03,1.854448043026878996e-08,3.708896086053757861e-07,6.605599757397635152e-06
-1.982499999999999929e+01,2.810907296744168376e-03,1.536265212644358769e-08,3.072530425288717273e-07,6.638937939840540185e-06
-1.977499999999999858e+01,2.818007449090240667e-03,1.305391182841094483e-08,2.610782365682188833e-07,6.672529085645054987e-06
-1.972500000000000142e+01,2.825143543200156308e-03,1.203930535727232879e-08,2.407861071454465559e-07,6.706375759937609268e-06
-1.967500000000000071e+01,2.832315852547771275e-03,1.254267801707890247e-08,2.508535603415780495e-07,6.740480560433444425e-06
-1.962500000000000000e+01,2.839524653380243527e-03,1.455087078150668424e-08,2.910174156301336584e-07,6.774846117934592671e-06
-1.957499999999999929e+01,2.846770224760316898e-03,1.781086399396321220e-08,3.562172798792642175e-07,6.809475096836753420e-06
-1.952499999999999858e+01,2.854052848595551618e-03,2.186509703416495355e-08,4.373019406832990711e-07,6.844370195645253231e-06
-1.947500000000000142e+01,2.861372809689442277e-03,2.612013660983694980e-08,5.224027321967389960e-07,6.879534147500259607e-06
-1.942500000000000071e+01,2.868730395771674439e-03,2.993845229540216295e-08,5.987690459080431795e-07,6.914969720711475624e-06
-1.937500000000000000e+01,2.876125897519380640e-03,3.273916104373255715e-08,6.547832208746510636e-07,6.950679719302461933e-06
-1.932499999999999929e+01,2.883559608630828844e-03,3.409187496769746715e-08,6.818374993539492902e-07,6.986666983564815692e-06
-1.927499999999999858e+01,2.891031825828328100e-03,3.378854950765832200e-08,6.757709901531663872e-07,7.022934390622432577e-06
-1.922500000000000142e+01,2.898542848924965092e-03,3.188141342606049278e-08,6.376282685212098556e-07,7.059484855005985701e-06
-1.917500000000000071e+01,2.906092980836191657e-03,2.868021227061411020e-08,5.736042454122822172e-07,7.096321329237941623e-06
