a,ell,positive_heatlike_integral_over_gamma0,probability_backflow,final_population,min_Pdot,max_Pdot
1.000000000000000021e-02,1.000000000000000021e-02,2.683577909864650834e+01,1.382221845969446639e+00,5.659648522456948161e-01,-6.227938639468307003e-02,5.625187866650255969e-02
1.000000000000000021e-02,1.062388679306682480e-02,2.682729775385866589e+01,1.381243463556906859e+00,5.501875261440294373e-01,-6.461237796984455051e-02,5.739570288483009097e-02
1.000000000000000021e-02,1.128669705918996895e-02,2.675519782943338143e+01,1.376962970163959188e+00,5.338608684111166847e-01,-6.699296792693577862e-02,5.848590139500145502e-02
1.000000000000000021e-02,1.199085918244744732e-02,2.662028378823348262e+01,1.369426769304180391e+00,5.170180415362451987e-01,-6.942144511431556919e-02,5.951983105879878749e-02
1.000000000000000021e-02,1.273895305059274952e-02,2.642319787912610707e+01,1.358671941260961358e+00,4.997207030538572958e-01,-7.189822902777023850e-02,6.049532593352223431e-02
1.000000000000000021e-02,1.353371950716906330e-02,2.616524698199910048e+01,1.344770340519385599e+00,4.820609091135978908e-01,-7.442388294471628807e-02,6.141077989868566622e-02
1.000000000000000021e-02,1.437807039332842686e-02,2.584825120682152999e+01,1.327820482423492043e+00,4.641600654385354963e-01,-7.699928794349210348e-02,6.226514111344452762e-02
1.000000000000000021e-02,1.527509921614669981e-02,2.547464353586196140e+01,1.307952807439116460e+00,4.461640366555217896e-01,-7.962531297243764794e-02,6.305813823113434746e-02
1.000000000000000021e-02,1.622809248252063061e-02,2.504730789713400441e+01,1.285321102974958496e+00,4.282338170195232330e-01,-8.230328634073438843e-02,6.378974207212340097e-02
1.000000000000000021e-02,1.724054174017179350e-02,2.456963964120035016e+01,1.260105745406216116e+00,4.105317149630752782e-01,-8.503443807204377758e-02,6.446052071131834482e-02
1.000000000000000021e-02,1.831615636987284426e-02,2.404530798769570410e+01,1.232501093422654348e+00,3.932038166973953475e-01,-8.782026628590836048e-02,6.507163334915899711e-02
1.000000000000000021e-02,1.945887717576388898e-02,2.347838100479615520e+01,1.202722081588363023e+00,3.763605074295137687e-01,-9.066251287665441638e-02,6.562414583012145253e-02
1.000000000000000021e-02,2.067289082355074428e-02,2.287317831836003634e+01,1.170996453788401226e+00,3.600578859105252882e-01,-9.356294604252496372e-02,6.611994304632698438e-02
1.000000000000000021e-02,2.196264517948329914e-02,2.223409431220445498e+01,1.137555477137556226e+00,3.442837494421442934e-01,-9.652339514464310100e-02,6.656077855699549239e-02
1.000000000000000021e-02,2.333286560631255002e-02,2.156619857948139085e+01,1.102665857762254786e+00,3.289521132459401476e-01,-9.954599904538778687e-02,6.694842272930595639e-02
1.000000000000000021e-02,2.478857227593068979e-02,2.088003552004017749e+01,1.066885707403637973e+00,3.139096129194878793e-01,-1.026327967080587905e-01,6.728494762649697702e-02
1.000000000000000021e-02,2.633509856212426156e-02,2.017892511009403478e+01,1.030387587315162445e+00,2.989553889890848026e-01,-1.057859226507633643e-01,6.757216134281301967e-02
1.000000000000000021e-02,2.797811058082649155e-02,1.946337497188871879e+01,9.931934877626942271e-01,2.838732085157463225e-01,-1.090075786417642190e-01,6.781177992160236645e-02
1.000000000000000021e-02,2.972362794946058900e-02,1.873401312474231872e+01,9.553315696262382195e-01,2.684710964129908284e-01,-1.123001204880101495e-01,6.800532274362733332e-02
