a,ell_lower,ell_upper,mechanism_0_interior_1_endpoint_2_tip
1.000000000000000048e-04,0.000000000000000000e+00,1.956642034313985645e+00,0.000000000000000000e+00
1.389495494373137348e-04,0.000000000000000000e+00,1.949002205442460500e+00,0.000000000000000000e+00
1.930697728883249591e-04,0.000000000000000000e+00,1.940028699845453453e+00,0.000000000000000000e+00
2.682695795279724476e-04,0.000000000000000000e+00,1.929492588035395695e+00,0.000000000000000000e+00
3.727593720314937870e-04,0.000000000000000000e+00,1.917126954853967780e+00,0.000000000000000000e+00
5.179474679231213042e-04,0.000000000000000000e+00,1.902621097571123077e+00,0.000000000000000000e+00
7.196856730011521675e-04,0.000000000000000000e+00,1.885614066709991432e+00,0.000000000000000000e+00
1.000000000000000021e-03,0.000000000000000000e+00,1.865687607446117280e+00,0.000000000000000000e+00
1.389495494373137402e-03,0.000000000000000000e+00,1.842358669167449170e+00,0.000000000000000000e+00
1.930697728883249645e-03,0.000000000000000000e+00,1.815071848438033486e+00,0.000000000000000000e+00
2.682695795279724585e-03,0.000000000000000000e+00,1.783192487249596558e+00,0.000000000000000000e+00
3.727593720314937870e-03,0.000000000000000000e+00,1.746001799449409031e+00,0.000000000000000000e+00
5.179474679231212825e-03,0.000000000000000000e+00,1.702696609038039544e+00,0.000000000000000000e+00
7.196856730011513652e-03,0.000000000000000000e+00,1.652398590391676914e+00,0.000000000000000000e+00
1.000000000000000021e-02,0.000000000000000000e+00,1.594182412248590364e+00,0.000000000000000000e+00
1.965943240230493688e-02,0.000000000000000000e+00,1.446025920497929329e+00,0.000000000000000000e+00
2.931886480460987182e-02,0.000000000000000000e+00,1.339044899915299958e+00,0.000000000000000000e+00
3.897829720691481370e-02,0.000000000000000000e+00,1.254832105435692569e+00,0.000000000000000000e+00
4.863772960921974864e-02,0.000000000000000000e+00,1.186212781333496835e+00,0.000000000000000000e+00
5.829716201152468358e-02,0.000000000000000000e+00,1.129463323252311691e+00,0.000000000000000000e+00
6.795659441382961852e-02,0.000000000000000000e+00,1.082292360952753718e+00,0.000000000000000000e+00
7.761602681613455346e-02,0.000000000000000000e+00,1.043101559704220582e+00,0.000000000000000000e+00
8.727545921843948840e-02,0.000000000000000000e+00,1.010665635807809659e+00,0.000000000000000000e+00
9.693489162074442334e-02,0.000000000000000000e+00,9.839829991117734487e-01,0.000000000000000000e+00
1.065943240230493583e-01,0.000000000000000000e+00,9.622044226794066457e-01,0.000000000000000000e+00
1.162537564253542932e-01,0.000000000000000000e+00,9.445984946370549196e-01,0.000000000000000000e+00
1.259131888276592559e-01,0.000000000000000000e+00,9.305336114528628411e-01,0.000000000000000000e+00
1.355726212299641908e-01,0.000000000000000000e+00,9.194665426270349773e-01,0.000000000000000000e+00
1.452320536322691258e-01,0.000000000000000000e+00,9.109330737819278934e-01,0.000000000000000000e+00
1.548914860345740607e-01,0.000000000000000000e+00,9.045390947884124344e-01,0.000000000000000000e+00
