a,profile_index,ell_critical,tau_tangent,tau_match,x_match,delta_match,max_real_q_after_local_layer,time_of_remote_max,entry_error,entry_error_over_a_2_3,u_min,slow_branch_margin_min,forcing_max,tube_discriminant,certified_radius,tube_certified
1.000000000000000021e-02,0.000000000000000000e+00,1.594408405120997685e+00,7.109061840595171766e+00,2.246421091307589180e+01,3.594273746092142563e-01,2.154434690031883926e-01,-5.732901662310530000e-01,1.515024411038433350e+01,9.331677932957841218e-03,2.010449065496939247e-01,3.760292888378577447e-01,4.083771540419419144e-01,6.262625218012012052e-03,1.163475251918570097e-01,1.746587925786341478e-02,1.000000000000000000e+00
1.000000000000000021e-02,1.000000000000000000e+00,1.594408217378660897e+00,7.109060151545858908e+00,2.244028844168564163e+01,3.590446150669702741e-01,2.154434690031883926e-01,-5.732760580741658174e-01,1.515024277125478136e+01,9.506631201432474629e-03,2.048141604570560548e-01,3.760292079757622252e-01,3.085745051877672451e-01,6.295548429524610093e-03,1.162157715327806207e-01,1.756243215309585826e-02,1.000000000000000000e+00
1.000000000000000021e-02,2.000000000000000000e+00,1.594521083657406191e+00,7.109991557288788400e+00,2.295102940743417008e+01,3.672164705189467360e-01,2.154434690031883926e-01,-5.737497460373022218e-01,1.515098121799219300e+01,6.104871816051956473e-03,1.315254761870027767e-01,3.760778253389271408e-01,4.084018187008473522e-01,5.879090721896613678e-03,1.179181678240701359e-01,1.634283829378796460e-02,1.000000000000000000e+00
1.000000000000000021e-02,3.000000000000000000e+00,1.599630047725508319e+00,7.150961784414416655e+00,2.641729419617985641e+01,4.226767071388777275e-01,2.154434690031883926e-01,-5.780312697901955898e-01,1.527127548711328942e+01,6.188490944765132930e-03,1.333269957035018716e-01,3.782890007771979590e-01,4.095179990870381759e-01,4.668441804325489629e-03,1.244288008917089072e-01,1.277216632532468532e-02,1.000000000000000000e+00
4.641588833612777208e-03,0.000000000000000000e+00,1.717916173056869500e+00,8.380988363106842698e+00,3.682990643752076920e+01,2.735188519414396002e-01,1.668100537200058742e-01,-6.452657287781502493e-01,1.787478095705577275e+01,3.673363470647319964e-03,1.320138383293312512e-01,3.580360325541864785e-01,4.341517694362832525e-01,3.688023647215716259e-03,1.134377060182795993e-01,1.061544353970927945e-02,1.000000000000000000e+00
4.641588833612777208e-03,1.000000000000000000e+00,1.717916157864379345e+00,8.380988135374593639e+00,3.681650623139716316e+01,2.734193347460612822e-01,1.668100537200058742e-01,-6.452651667443658479e-01,1.787478075732727945e+01,3.675619976882469209e-03,1.320949329587346732e-01,3.580360248363923525e-01,3.318758475607562763e-01,3.694676519825526844e-03,1.134110890013436540e-01,1.063519782497257538e-02,1.000000000000000000e+00
4.641588833612777208e-03,2.000000000000000000e+00,1.717942266121555095e+00,8.381363327776421457e+00,3.729085056269309462e+01,2.769420729083504340e-01,1.668100537200058742e-01,-6.452851001289462429e-01,1.787510981310612479e+01,3.698909325190953383e-03,1.329319087404560173e-01,3.580492882769589214e-01,4.341569404410364763e-01,3.554294550138816389e-03,1.139821146350815662e-01,1.021845746639568620e-02,1.000000000000000000e+00
4.641588833612777208e-03,3.000000000000000000e+00,1.720062322797798249e+00,8.411391127092610276e+00,4.180516532959509135e+01,3.104678217298953435e-01,1.668100537200058742e-01,-6.454620467110435689e-01,1.795249490544619064e+01,3.418801223873836961e-03,1.228653455218977758e-01,3.591291928476450512e-01,4.345766861536220493e-01,2.914624045460107674e-03,1.173152809735606011e-01,8.308004599186041839e-03,1.000000000000000000e+00
2.154434690031884272e-03,0.000000000000000000e+00,1.805001120048854935e+00,9.984535616990589446e+00,6.082431235464870412e+01,2.096672136547041709e-01,1.291549665014884163e-01,-6.900788955409140613e-01,2.125141229504009388e+01,2.718732914475044914e-03,1.629837563051501070e-01,3.359552060584934385e-01,4.507377575595077901e-01,2.105150238043912349e-03,1.044452995256291428e-01,6.387612988380364509e-03,1.000000000000000000e+00
2.154434690031884272e-03,1.000000000000000000e+00,1.805001118930575910e+00,9.984535588063415901e+00,6.081659082994293186e+01,2.096405968216064342e-01,1.291549665014884163e-01,-6.900788975301078709e-01,2.125141226707755848e+01,2.720409545867313178e-03,1.630842677164756338e-01,3.359552053810624939e-01,3.474462452095730125e-01,2.106479366237715579e-03,1.044399825576810270e-01,6.391725710455237186e-03,1.000000000000000000e+00
