t,Gamma_beta,coherence,gamma_phi,bath_energy,system_entropy,Sigma_beta
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.551116999690106006e-14,3.551116999690106006e-14
7.142857142857142634e-03,4.234398932756419821e-05,9.999576569071665366e-01,1.185628329135087963e-02,1.127976839560504644e-05,2.490375520517320402e-04,3.618352360077825114e-04
1.428571428571428527e-02,1.693745121805723087e-04,9.998306398308722809e-01,2.371216195313457023e-02,4.511781473422335297e-05,8.786903300030599311e-04,1.329868477345293393e-03
2.142857142857142877e-02,3.810872334590062016e-04,9.996189853710575335e-01,3.556723143671065152e-02,1.015103628686278954e-04,1.822340525140501164e-03,2.837444153826780037e-03
2.857142857142857054e-02,6.774749289594874171e-04,9.993227545053652294e-01,4.742108735525534663e-02,1.804511205444043846e-04,3.044372429354315606e-03,4.848883634798359724e-03
3.571428571428571230e-02,1.058527486819794625e-03,9.989420325557760716e-01,5.927332556457762247e-02,2.819312813855334395e-04,4.519789459007134136e-03,7.339102272862468856e-03
4.285714285714285754e-02,1.524231909540265393e-03,9.984769291419379744e-01,7.112354224382479162e-02,4.059395276724776162e-04,6.229202169343218791e-03,1.028859744606799506e-02
4.999999999999999584e-02,2.074572316581162115e-03,9.979275781212305629e-01,8.297133397604083971e-02,5.524620339110466972e-04,8.156706691774033569e-03,1.368132703088449989e-02
5.714285714285714107e-02,2.709529947534821022e-03,9.972941375156185728e-01,9.481629782854075761e-02,7.214824711898289774e-04,1.028877824681146032e-02,1.750360295870975053e-02
6.428571428571427937e-02,3.429083165871137442e-03,9.965767894253557690e-01,1.066580314330647788e-01,9.129820123234787255e-04,1.261361918342556246e-02,2.174343930666034971e-02
7.142857142857142461e-02,4.233207463254686463e-03,9.957757399296160994e-01,1.184961330656760237e-01,1.126939337778680222e-03,1.512074216621517309e-02,2.639013554400197747e-02
7.857142857142856984e-02,5.121875464431518109e-03,9.948912189741383472e-01,1.303302017263651968e-01,1.363330642379108077e-03,1.780068753997738479e-02,3.143399396376846122e-02
8.571428571428571508e-02,6.095056932683399868e-03,9.939234802459817608e-01,1.421598372183274783e-01,1.622129642785244234e-03,2.064482293512884953e-02,3.686611936298129361e-02
9.285714285714286031e-02,7.152718775847058223e-03,9.928728010355013511e-01,1.539846402268746917e-01,1.903307585744426836e-03,2.364519611973555854e-02,4.267827197717982690e-02
9.999999999999999167e-02,8.294825052895658801e-03,9.917394820856635373e-01,1.658042123979487081e-01,2.206833257106037907e-03,2.679442385604517696e-02,4.886275642710555256e-02
1.071428571428571369e-01,9.521336981079575254e-03,9.905238474288311501e-01,1.776181564162006565e-01,2.532672991596280915e-03,3.008560597800053610e-02,5.541233589396334092e-02
