t,Gamma_beta,coherence,gamma_phi,bath_energy,system_entropy,Sigma_beta
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.551116999690106006e-14,3.551116999690106006e-14
7.142857142857142634e-03,2.643331886606556657e-05,9.999735670304910062e-01,7.401286351737741340e-03,1.199989594957294971e-05,1.616909906460332555e-04,2.816899501417627458e-04
1.428571428571428527e-02,1.057314356213765578e-04,9.998942741537498735e-01,1.480205755840008353e-02,4.799774717322935567e-05,5.734454616627743164e-04,1.053422933395067873e-03
2.142857142857142877e-02,2.378888312057905676e-04,9.997621394620985757e-01,2.220179860608985714e-02,1.079880444984914904e-04,1.193692851046529143e-03,2.273573296031444237e-03
2.857142857142857054e-02,4.228963087472011159e-04,9.995771930992929377e-01,2.959999474319611676e-02,1.919616083130930002e-04,2.000222592375127100e-03,3.919838675506057482e-03
3.571428571428571230e-02,6.607409959028568650e-04,9.993394772453593200e-01,3.699613161136167810e-02,2.999055920760180377e-04,2.977458572208655993e-03,5.976514492968836370e-03
4.285714285714285754e-02,9.514063481354521250e-04,9.990490460953869167e-01,4.438969537624014305e-02,4.318034872294466476e-04,4.113329419069121189e-03,8.431364291363587990e-03
4.999999999999999584e-02,1.294872152922235719e-03,9.987059658322903211e-01,5.178017285797246322e-02,5.876351295081002962e-04,5.397943367076007276e-03,1.127429466215701045e-02
5.714285714285714107e-02,1.691114534894891256e-03,9.983103145935700029e-01,5.916705166131374510e-02,7.673767066414915843e-04,6.822896917171248840e-03,1.449666398358616382e-02
6.428571428571427937e-02,2.140105961907428061e-03,9.978621824320970113e-01,6.654982030534040138e-02,9.710007674435845596e-04,8.380867328158864843e-03,1.809087500259470849e-02
7.142857142857142461e-02,2.641815252028863539e-03,9.973616712709584275e-01,7.392796835266948752e-02,1.198476232283399515e-03,1.006535196476106286e-02,2.205011428759505801e-02
7.857142857142856984e-02,3.196207581456941577e-03,9.968088948524014281e-01,8.130098653812110887e-02,1.449768404929111009e-03,1.187049145581924384e-02,2.636817550511035349e-02
8.571428571428571508e-02,3.803244493348676911e-03,9.962039786809220310e-01,8.866836689675632044e-02,1.724838985757225652e-03,1.379094423047425889e-02,3.103933408804651628e-02
9.285714285714286031e-02,4.462883907563037697e-03,9.955470599605469317e-01,9.602960289122304538e-02,2.023646086317468836e-03,1.582179432514406806e-02,3.605825518831876075e-02
9.999999999999999167e-02,5.175080131310558218e-03,9.948382875263644953e-01,1.033841895383432047e-01,2.346144245243064232e-03,1.795848169241498482e-02,4.141992414484562540e-02
1.071428571428571369e-01,5.939783870704243643e-03,9.940778217703629682e-01,1.107316235348750344e-01,2.692284445495140427e-03,2.019674827614128046e-02,4.711959273109268820e-02
1.142857142857142821e-01,6.756942243205638077e-03,9.932658345616418583e-01,1.180714033823853232e-01,3.062014132929108748e-03,2.253259546227281626e-02,5.315273679156390374e-02
1.214285714285714274e-01,7.626498790959462641e-03,9.924025091610648719e-01,1.254030295111668580e-01,3.455277236169901865e-03,2.496224994342600978e-02,5.951502230512503017e-02
1.285714285714285587e-01,8.548393495009775842e-03,9.914880401304276836e-01,1.327260044031379482e-01,3.872014187782122328e-03,2.748213593971329805e-02,6.620227781753451612e-02
1.357142857142857040e-01,9.522562790390182164e-03,9.905226332362206954e-01,1.400398327136604948e-01,4.312161946720217964e-03,3.008885231036789037e-02,7.321047177757006308e-02
1.428571428571428492e-01,1.054893958208010137e-02,9.895065053480677220e-01,1.473440213922154740e-01,4.775654022042987064e-03,3.277915348935859369e-02,8.053569370978846953e-02
1.499999999999999944e-01,1.162745326181875358e-02,9.884398843319283090e-01,1.546380798018751612e-01,5.262420497875835469e-03,3.554993345342201405e-02,8.817413843218036007e-02
1.571428571428571397e-01,1.275802972576803827e-02,9.873230089381567209e-01,1.619215198375115461e-01,5.772388059603402767e-03,3.839821212509603177e-02,9.612209272113006464e-02
1.642857142857142849e-01,1.394059139301508446e-02,9.861561286845099694e-01,1.691938560426839711e-01,6.305480021274383756e-03,4.132112375309487246e-02,1.043759239658387239e-01
1.714285714285714302e-01,1.517505722490481573e-02,9.849395037342077996e-01,1.764546057251470679e-01,6.861616354199528284e-03,4.431590691454938280e-02,1.129320704565446726e-01
1.785714285714285754e-01,1.646134274519245669e-02,9.836734047691448879e-01,1.837032890709234534e-01,7.440713716723100848e-03,4.737989585972767620e-02,1.217870330269586743e-01
1.857142857142857206e-01,1.779936006100558618e-02,9.823581128583643851e-01,1.909394292568869500e-01,8.042685485147313754e-03,5.051051297709892307e-02,1.309373678285720710e-01
1.928571428571428381e-01,1.918901788460488506e-02,9.809939193219033848e-01,1.981625525618016803e-01,8.667441785788519010e-03,5.370526220041897669e-02,1.403796800583041460e-01
1.999999999999999833e-01,2.063022155593229046e-02,9.795811255901223369e-01,2.053721884757657434e-01,9.314889528143252898e-03,5.696172321329495691e-02,1.501106184947274824e-01
2.071428571428571286e-01,2.212287306593510583e-02,9.781200430586387551e-01,2.125678698080077644e-01,9.984932439141554900e-03,6.027754633311807608e-02,1.601268707245336320e-01
2.142857142857142738e-01,2.366687108065401030e-02,9.766109929389830135e-01,2.197491327929881055e-01,1.067747109846433305e-02,6.365044797704810797e-02,1.704251589616914420e-01
2.214285714285714191e-01,2.526211096606281042e-02,9.750543061051014648e-01,2.269155171947552785e-01,1.139240297490092674e-02,6.707820662932731381e-02,1.810022363783365673e-01
2.285714285714285643e-01,2.690848481364708361e-02,9.734503229358324461e-01,2.340665664095131215e-01,1.212962246372239865e-02,7.055865924248015675e-02,1.918548838797041467e-01
2.357142857142857095e-01,2.860588146670906690e-02,9.717993931534846253e-01,2.412018275663515565e-01,1.288902092504558457e-02,7.408969801572201641e-02,2.029799072661778725e-01
2.428571428571428548e-01,3.035418654738531244e-02,9.701018756586484715e-01,2.483208516260999588e-01,1.367048672316222187e-02,7.766926750264960266e-02,2.143741347342718317e-01
2.500000000000000000e-01,3.215328248436354758e-02,9.683581383613756310e-01,2.554231934782585922e-01,1.447390526680721046e-02,8.129536200747755625e-02,2.260344146755496608e-01
2.571428571428571175e-01,3.400304854128501086e-02,9.665685580088613227e-01,2.625084120359718054e-01,1.529915905033928103e-02,8.496602323502433496e-02,2.379576137384171453e-01
2.642857142857142905e-01,3.590336084581803588e-02,9.647335200097688634e-01,2.695760703290003280e-01,1.614612769580714424e-02,8.867933816455836338e-02,2.501406151226298058e-01
2.714285714285714080e-01,3.785409241938835628e-02,9.628534182553354359e-01,2.766257355946591390e-01,1.701468799587350922e-02,9.243343712173950066e-02,2.625803170804745790e-01
2.785714285714285809e-01,3.985511320755186215e-02,9.609286549374007613e-01,2.836569793666838812e-01,1.790471395756929041e-02,9.622649202635180643e-02,2.752736316020447105e-01
2.857142857142856984e-01,4.190629011099420570e-02,9.589596403635027855e-01,2.906693775619929587e-01,1.881607684684936943e-02,1.000567147964147585e-01,2.882174832649084806e-01
2.928571428571428714e-01,4.400748701714301409e-02,9.569467927691831521e-01,2.976625105653145642e-01,1.974864523392177648e-02,1.039223558917514167e-01,3.014088082309691607e-01
2.999999999999999889e-01,4.615856483237643776e-02,9.548905381276502347e-01,3.046359633116462740e-01,2.070228503932082173e-02,1.078217029821777057e-01,3.148445533753859160e-01
3.071428571428571064e-01,4.835938151481315034e-02,9.527913099569444988e-01,3.115893253665221185e-01,2.167685958069539079e-02,1.117530797272912324e-01,3.285216755342451611e-01
3.142857142857142794e-01,5.060979210766763936e-02,9.506495491247548557e-01,3.185221910040576532e-01,2.267222962028255309e-02,1.157148446563632388e-01,3.424371408591887489e-01
3.214285714285713969e-01,5.290964877315496029e-02,9.484657036510341088e-01,3.254341592827501572e-01,2.368825341303697207e-02,1.197053901381857355e-01,3.565879242685554562e-01
3.285714285714285698e-01,5.525880082692896655e-02,9.462402285085619313e-01,3.323248341190110922e-01,2.472478675538605786e-02,1.237231414318637202e-01,3.709710089857243265e-01
3.357142857142856873e-01,5.765709477303732067e-02,9.439735854216046995e-01,3.391938243584082247e-01,2.578168303458066787e-02,1.277665558105507138e-01,3.855833861563573439e-01
3.428571428571428603e-01,6.010437433937756979e-02,9.416662426628208404e-01,3.460407438445994854e-01,2.685879327861132038e-02,1.318341217509906849e-01,4.004220545371038886e-01
3.499999999999999778e-01,6.260048051363678590e-02,9.393186748485622406e-01,3.528652114859399669e-01,2.795596620665916077e-02,1.359243581824890745e-01,4.154840202490807100e-01
