t,tau,population,population_rate,gamma,heat_power,mutual_information,mutual_information_rate,interaction_energy,bath_energy
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,6.642085061828095488e-13,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-03,1.600000000000000077e-03,9.999938392894063277e-01,-6.160701105132776814e-03,6.160739059663166914e-03,-1.232017007004452755e-02,1.601453967394152384e-04,1.478237099236166530e-01,7.700286693485031925e-06,4.620518422665491947e-06
4.000000000000000083e-03,3.200000000000000153e-03,9.999753573571692478e-01,-1.232120266634203869e-02,1.232150630082094744e-02,-2.463747685161754228e-02,5.722524299259119105e-04,2.614807484035043261e-01,3.079718710765333558e-05,1.848193790297281022e-05
6.000000000000000125e-03,4.800000000000000447e-03,9.999445548018871532e-01,-1.848130517452380162e-02,1.848232993096841220e-02,-3.695152156594289083e-02,1.197626006910344071e-03,3.622357991657710330e-01,6.928498322750872471e-05,4.158385106971987757e-05
8.000000000000000167e-03,6.400000000000000307e-03,9.999014326211314030e-01,-2.464080916556751766e-02,2.464323818496224477e-02,-4.926190568380258566e-02,2.015647879307459062e-03,4.546067461043262203e-01,1.231574312736897884e-04,7.392557900851652835e-05
1.000000000000000021e-02,8.000000000000000167e-03,9.998459922113512865e-01,-3.079951522744617601e-02,3.080425932330551828e-02,-6.156823093966490995e-02,3.011908876507277989e-03,5.407380560612775611e-01,1.924077621637689352e-04,1.155061713098557883e-04
1.200000000000000025e-02,9.600000000000000894e-03,9.997782353677607814e-01,-3.695722400730264839e-02,3.696542163043609053e-02,-7.387009934579652493e-02,4.175288277955234439e-03,6.218919338097395055e-01,2.770286819921070117e-04,1.663244061348228501e-04
1.400000000000000029e-02,1.120000000000000162e-02,9.996981642842145410e-01,-4.311373621853206717e-02,4.312675341301799165e-02,-8.616711320635818405e-02,5.496716180597792378e-03,6.989017565638763196e-01,3.770123725282333873e-04,2.263787902824846419e-04
1.600000000000000033e-02,1.280000000000000061e-02,9.996057815530673407e-01,-4.926885264785983709e-02,4.928828299823537901e-02,-9.845887513148308956e-02,6.968527134207317536e-03,7.723593326876787568e-01,4.923504917337254757e-04,2.956675592747511853e-04
1.800000000000000211e-02,1.440000000000000308e-02,9.995010901650219770e-01,-5.542237416241524439e-02,5.545003873208859818e-02,-1.107449880513381446e-01,8.584078652470968074e-03,8.427067468222324553e-01,6.230341742975533444e-04,3.741886774418677012e-04
2.000000000000000042e-02,1.600000000000000033e-02,9.993840935089581823e-01,-6.157410171680022248e-02,6.161204897769197164e-02,-1.230250552301668382e-01,1.033750682969945302e-02,9.102868051646572090e-01,7.690540321898614801e-04,4.619398380305478119e-04
2.199999999999999872e-02,1.760000000000000106e-02,9.992547953717547671e-01,-6.772383636015294472e-02,6.777434211357225013e-02,-1.352986802803135546e-01,1.222356023879681529e-02,9.753730793345789518e-01,9.304001552341574065e-04,5.589184633050241647e-04
2.400000000000000050e-02,1.920000000000000179e-02,9.991131999380895579e-01,-7.387137924320640037e-02,7.393694653196841715e-02,-1.475654671762291203e-01,1.423748184316460039e-02,1.038188927804407635e+00,1.107062111697869290e-03,6.651217046743610351e-04
2.600000000000000228e-02,2.080000000000000251e-02,9.989593117902327846e-01,-8.001653162534098918e-02,8.009989063713068846e-02,-1.598250202684561028e-01,1.637492201891262850e-02,1.098920130088841152e+00,1.299028948901250142e-03,7.805464428147430075e-04
2.800000000000000058e-02,2.240000000000000324e-02,9.987931359078195959e-01,-8.615909488163164820e-02,8.626320284362008761e-02,-1.720769442975947361e-01,1.863187263157925488e-02,1.157723609227802042e+00,1.506289193844579559e-03,9.051892878152105037e-04
2.999999999999999889e-02,2.400000000000000050e-02,9.986146776676126935e-01,-9.229887050988862252e-02,9.242691157460651563e-02,-1.843208444082475861e-01,2.100461587528369006e-02,1.214733648708943070e+00,1.728830853853650972e-03,1.039046579323317466e-03
3.200000000000000067e-02,2.560000000000000123e-02,9.984239428432509778e-01,-9.843566013769207423e-02,9.859104526016572445e-02,-1.965563261629435232e-01,2.348968377173401428e-02,1.270066443700776038e+00,1.966641417243486165e-03,1.182114386701649603e-03
3.400000000000000244e-02,2.720000000000000195e-02,9.982209376049820948e-01,-1.045692655294197387e-01,1.047556323355742780e-01,-2.087829955560394357e-01,2.608382556026125551e-02,1.323823509671637311e+00,2.219707854000260282e-03,1.334388509196108175e-03
3.600000000000000422e-02,2.880000000000000615e-02,9.980056685193816612e-01,-1.106994885932682110e-01,1.109207012396026121e-01,-2.210004590276006542e-01,2.878398105477100039e-02,1.376094285910637760e+00,2.488016616481387219e-03,1.495864476116453515e-03
3.799999999999999906e-02,3.039999999999999994e-02,9.977781425490579448e-01,-1.168261313882666269e-01,1.170862804128049023e-01,-2.332083234772578395e-01,3.158725859661711682e-02,1.426958158452388048e+00,2.771553640133745007e-03,1.666537547021357084e-03
4.000000000000000083e-02,3.200000000000000067e-02,9.975383670523453317e-01,-1.229489961312830448e-01,1.232523982958054487e-01,-2.454061962780409445e-01,3.449091660489047445e-02,1.476486055726842661e+00,3.070304344229987225e-03,1.846402711913123097e-03
4.200000000000000261e-02,3.360000000000000486e-02,9.972863497829789203e-01,-1.290678852040234859e-01,1.294190833275820351e-01,-2.575936852901900553e-01,3.749234798301458865e-02,1.524741724091509543e+00,3.384253632622907879e-03,2.035454691448551536e-03
4.399999999999999745e-02,3.520000000000000212e-02,9.970220988897613434e-01,-1.351826011600225086e-01,1.355863639437437929e-01,-2.697703988749409199e-01,4.058906682189125648e-02,1.571782759688199027e+00,3.713385894517837876e-03,2.233687937147978836e-03
4.599999999999999922e-02,3.679999999999999938e-02,9.967456229162071635e-01,-1.412929467316261511e-01,1.417542685748058029e-01,-2.819359459082868558e-01,4.377869697082416300e-02,1.617661452153865254e+00,4.057685005262996747e-03,2.441096631630106095e-03
4.800000000000000100e-02,3.840000000000000357e-02,9.964569308001838266e-01,-1.473987248369660330e-01,1.479228256444566902e-01,-2.940899357947146520e-01,4.705896214272668743e-02,1.662425481192134402e+00,4.417134327157811770e-03,2.657674688836631459e-03
5.000000000000000278e-02,4.000000000000000777e-02,9.961560318735290798e-01,-1.534997385869249220e-01,1.540920635678217632e-01,-3.062319784809152123e-01,5.042767729173686098e-02,1.706118496731130474e+00,4.791716710279096507e-03,2.883415754284098138e-03
5.200000000000000455e-02,4.160000000000000503e-02,9.958429358616598392e-01,-1.595957912920935307e-01,1.602620107497194635e-01,-3.183616844694681647e-01,5.388274105461809960e-02,1.748780606004420646e+00,5.181414493325131251e-03,3.118313205316270223e-03
5.399999999999999939e-02,4.320000000000000229e-02,9.955176528831664040e-01,-1.656866864697175978e-01,1.664326955829104893e-01,-3.304786648324987142e-01,5.742212908856986903e-02,1.790448785492862571e+00,5.586209504477518753e-03,3.362360151364712432e-03
5.600000000000000117e-02,4.480000000000000648e-02,9.951801934493914592e-01,-1.717722278506360611e-01,1.726041464463403396e-01,-3.425825312253085730e-01,6.104388816969176512e-02,1.831157231671111774e+00,6.006083062280844279e-03,3.615549434225538358e-03
5.800000000000000294e-02,4.640000000000000374e-02,9.948305684639958679e-01,-1.778522193862092649e-01,1.787763917033736993e-01,-3.546728958999785242e-01,6.474613094106987377e-02,1.870937661508832672e+00,6.441015976540036790e-03,3.877873628340662050e-03
5.999999999999999778e-02,4.800000000000000100e-02,9.944687892225122505e-01,-1.839264652552372037e-01,1.849494597000204965e-01,-3.667493717189430069e-01,6.852703121899489380e-02,1.909819571406819794e+00,6.890988549235445987e-03,4.149325041087979088e-03
6.199999999999999956e-02,4.960000000000000520e-02,9.940948674118795791e-01,-1.899947698708673305e-01,1.911233787631533010e-01,-3.788115721685352821e-01,7.238481978144706286e-02,1.947830461508552657e+00,7.355980575455531995e-03,4.429895713088351922e-03
6.400000000000000133e-02,5.120000000000000245e-02,9.937088151099733313e-01,-1.960569378874924829e-01,1.972981771987148414e-01,-3.908591113725050081e-01,7.631778057524064851e-02,1.984996030983436022e+00,7.835971344347200662e-03,4.719577418506940014e-03
6.600000000000000311e-02,5.280000000000000665e-02,9.933106447851094423e-01,-2.021127742076373746e-01,2.034738832899168071e-01,-4.028916041055043418e-01,8.032424728869499986e-02,2.021340348824642863e+00,8.330939640083613595e-03,5.018361665386571191e-03
6.800000000000000488e-02,5.440000000000000391e-02,9.929003692955460370e-01,-2.081620839888343177e-01,2.096505252954266318e-01,-4.149086658065445632e-01,8.440260024445495057e-02,2.056886003879953240e+00,8.840863742849579612e-03,5.326239695967528373e-03
7.000000000000000666e-02,5.600000000000000810e-02,9.924780018889652888e-01,-2.142046726504882592e-01,2.158281314475448409e-01,-4.269099125924231131e-01,8.855126357426480743e-02,2.091654237174288777e+00,9.365721429844374099e-03,5.643202487028544170e-03
