t,tau,population,population_rate,gamma,heat_power,mutual_information,mutual_information_rate,interaction_energy,bath_energy
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,6.642085061828095488e-13,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-03,1.600000000000000077e-03,9.999986965673337558e-01,-1.303432241580368325e-03,1.303433940518744592e-03,-2.606603796712420734e-03,3.793121646369274123e-05,3.532433792344431139e-02,-1.294742247580483744e-10,2.606864463421481822e-06
4.000000000000000083e-03,3.200000000000000153e-03,9.999947862813441946e-01,-2.606852473729769169e-03,2.606866065196006364e-03,-5.212662206470046640e-03,1.372690224607888202e-04,6.342061223188499852e-02,-1.294737146191024709e-09,1.042742861961468170e-05
6.000000000000000125e-03,4.800000000000000447e-03,9.999882691780596078e-01,-3.910248687260409889e-03,3.910294558229606560e-03,-7.818151225308463473e-03,2.898283725052114681e-04,8.878828935635726949e-02,-4.522858755650758465e-09,2.346160475874694380e-05
8.000000000000000167e-03,6.400000000000000307e-03,9.999791453175257416e-01,-5.213608873470883948e-03,5.213717603896023990e-03,-1.042304685984299199e-02,4.912496315347454233e-04,1.123836269493260209e-01,-1.083042382773078779e-08,4.170924668927319251e-05
1.000000000000000021e-02,8.000000000000000167e-03,9.999674147838055749e-01,-6.516921024389419476e-03,6.517133386589789301e-03,-1.302732512775445044e-02,7.384875898110430156e-04,1.346606937732848230e-01,-2.122350401099662116e-08,6.517014972912248008e-05
1.200000000000000025e-02,9.600000000000000894e-03,9.999530776849765434e-01,-7.820173133017159495e-03,7.820540090862956872e-03,-1.563096205827469928e-02,1.029193469700691397e-03,1.558868662801560501e-01,-3.669763061380584310e-08,9.384405070535123167e-05
1.400000000000000029e-02,1.120000000000000162e-02,9.999361341531293190e-01,-9.123353193571442574e-03,9.123935901464583220e-03,-1.823393369267188591e-02,1.361453022826601385e-03,1.762387686823798094e-01,-5.823776808675279741e-08,1.277306279458333236e-04
1.600000000000000033e-02,1.280000000000000061e-02,9.999165843443641455e-01,-1.042644920172910820e-02,1.042731900338029864e-02,-2.083621608473544898e-02,1.733649732913389568e-03,1.958418956728912863e-01,-8.681828820196700189e-08,1.668295012831933519e-04
1.800000000000000211e-02,1.440000000000000308e-02,9.998944284387889514e-01,-1.172944915486980391e-02,1.173068758187190141e-02,-2.343778530126084184e-02,2.144384065727146429e-03,2.147900471530118371e-01,-1.234029449310726102e-07,2.111402320507789162e-04
2.000000000000000042e-02,1.600000000000000033e-02,9.998696666405143541e-01,-1.303234105231923512e-02,1.303403982251697367e-02,-2.603861742253383085e-02,2.592421731749953301e-03,2.331560031913847419e-01,-1.689448500220061213e-07,2.606623230884353381e-04
2.199999999999999872e-02,1.760000000000000106e-02,9.998422991776504398e-01,-1.433511289559244450e-02,1.433737391124858228e-02,-2.863868854281458737e-02,3.076658514761313780e-03,2.509978821356401157e-01,-2.243864492760216695e-07,3.153952187436518252e-04
2.400000000000000050e-02,1.920000000000000179e-02,9.998123263023018792e-01,-1.563775268863701676e-02,1.564068803439497279e-02,-3.123797477082130430e-02,3.596095261814258315e-03,2.683631663494300268e-01,-2.906594995250071863e-07,3.753383048776265255e-04
2.600000000000000228e-02,2.080000000000000251e-02,9.997797482905627087e-01,-1.694024843807624345e-02,1.694398037871932758e-02,-3.383645223021349013e-02,4.149819457719874927e-03,2.852913763437434080e-01,-3.686850463107583661e-07,4.404909088733659781e-04
2.800000000000000058e-02,2.240000000000000324e-02,9.997445654425106687e-01,-1.824258815345226881e-02,1.824724913145956209e-02,-3.643409706007487425e-02,4.736991256048128304e-03,3.018159171178929623e-01,-4.593734022660968521e-07,5.108522996435981359e-04
2.999999999999999889e-02,2.400000000000000050e-02,9.997067780822015415e-01,-1.954475984746907591e-02,1.955049248036807436e-02,-3.903088541539574685e-02,5.356832635121976452e-03,3.179653942532486566e-01,-5.636241261984667535e-07,5.864216876409421818e-04
3.200000000000000067e-02,2.560000000000000123e-02,9.996663865576622676e-01,-2.084675153623554572e-02,2.085370861375168694e-02,-4.162679346755513571e-02,6.008618810771559557e-03,3.337645774831335399e-01,-6.823260028769817017e-07,6.671982248701139890e-04
