a,m,c_m,ell_linear,ell_profile,tau_linear,tau_profile,ell_difference,normalized_difference,K_m,normalized_minus_K_m
2.000000000000000042e-02,3.000000000000000000e+00,-3.333333333333333148e-01,1.441725195581289753e+00,1.442508172796529653e+00,6.212757082922605534e+00,6.216807808296359816e+00,7.829772152398994933e-04,2.293878560273142853e+00,3.434802200544679440e+00,-1.140923640271536588e+00
2.000000000000000042e-02,3.000000000000000000e+00,-3.333333333333333148e-01,1.441725195581289753e+00,1.442506874156994412e+00,6.212757082922605534e+00,6.216799038803404009e+00,7.816785757046584848e-04,2.290073952259741308e+00,3.434802200544679440e+00,-1.144728248284938132e+00
2.000000000000000042e-02,3.000000000000000000e+00,-5.000000000000000000e-01,1.441725195581289753e+00,1.442898247024602121e+00,6.212757082922605534e+00,6.218823335482883685e+00,1.173051443312367326e-03,2.291116100219467544e+00,3.434802200544679440e+00,-1.143686100325211896e+00
2.000000000000000042e-02,3.000000000000000000e+00,2.500000000000000000e-01,1.441725195581289753e+00,1.441139571288708510e+00,6.212757082922605534e+00,6.209729184081979270e+00,-5.856242925812438216e-04,2.287594892895483678e+00,3.434802200544679440e+00,-1.147207307649195762e+00
2.000000000000000042e-02,2.000000000000000000e+00,-5.000000000000000000e-01,1.441725195581289753e+00,1.453576912697108536e+00,6.212757082922605534e+00,6.270291544062648548e+00,1.185171711581878284e-02,1.969716828400366548e+00,2.647166369332992542e+00,-6.774495409326259932e-01
1.261914688960386749e-02,3.000000000000000000e+00,-3.333333333333333148e-01,1.547733179060098996e+00,1.548080773690623246e+00,6.780953235200331441e+00,6.783388298447785125e+00,3.475946305242505474e-04,2.557963582264014768e+00,3.434802200544679440e+00,-8.768386182806646723e-01
1.261914688960386749e-02,3.000000000000000000e+00,-3.333333333333333148e-01,1.547733179060098996e+00,1.548080390344338308e+00,6.780953235200331441e+00,6.783385281018686541e+00,3.472112842393126897e-04,2.555142520745347756e+00,3.434802200544679440e+00,-8.796596797993316841e-01
1.261914688960386749e-02,3.000000000000000000e+00,-5.000000000000000000e-01,1.547733179060098996e+00,1.548253958503309047e+00,6.780953235200331441e+00,6.784601774524646522e+00,5.207794432100509852e-04,2.554958627360235379e+00,3.434802200544679440e+00,-8.798435731844440610e-01
1.261914688960386749e-02,3.000000000000000000e+00,2.500000000000000000e-01,1.547733179060098996e+00,1.547472600593341241e+00,6.780953235200331441e+00,6.779129195535459118e+00,-2.605784667577548674e-04,2.556810605438962547e+00,3.434802200544679440e+00,-8.779915951057168932e-01
1.261914688960386749e-02,2.000000000000000000e+00,-5.000000000000000000e-01,1.547733179060098996e+00,1.554851694405248841e+00,6.780953235200331441e+00,6.829153138278496904e+00,7.118515345149845075e-03,2.103836298823690498e+00,2.647166369332992542e+00,-5.433300705093020433e-01
7.962143411069948565e-03,3.000000000000000000e+00,-3.333333333333333148e-01,1.635399896520405516e+00,1.635546996405638165e+00,7.453049592002826351e+00,7.454477841418835737e+00,1.470998852326488304e-04,2.719152918742184344e+00,3.434802200544679440e+00,-7.156492818024950964e-01
7.962143411069948565e-03,3.000000000000000000e+00,-3.333333333333333148e-01,1.635399896520405516e+00,1.635546905767407022e+00,7.453049592002826351e+00,7.454476899477962881e+00,1.470092470015060826e-04,2.717477463928799075e+00,3.434802200544679440e+00,-7.173247366158803651e-01
7.962143411069948565e-03,3.000000000000000000e+00,-5.000000000000000000e-01,1.635399896520405516e+00,1.635620387620666083e+00,7.453049592002826351e+00,7.455190609322559503e+00,2.204911002605669523e-04,2.717196857459438508e+00,3.434802200544679440e+00,-7.176053430852409321e-01
7.962143411069948565e-03,3.000000000000000000e+00,2.500000000000000000e-01,1.635399896520405516e+00,1.635289574429620751e+00,7.453049592002826351e+00,7.451978946559321137e+00,-1.103220907847646259e-04,2.719083337463196415e+00,3.434802200544679440e+00,-7.157188630814830255e-01
7.962143411069948565e-03,2.000000000000000000e+00,-5.000000000000000000e-01,1.635399896520405516e+00,1.639574285990467839e+00,7.453049592002826351e+00,7.492727595990763767e+00,4.174389470062322971e-03,2.193893213280161181e+00,2.647166369332992542e+00,-4.532731560528313608e-01
5.023772863019159741e-03,3.000000000000000000e+00,-3.333333333333333148e-01,1.706995291911552970e+00,1.707056167003340175e+00,8.234440120038700073e+00,8.235265668847977949e+00,6.087509178720473813e-05,2.826577692304284906e+00,3.434802200544679440e+00,-6.082245082403945347e-01
5.023772863019159741e-03,3.000000000000000000e+00,-3.333333333333333148e-01,1.706995291911552970e+00,1.707056147191568840e+00,8.234440120038700073e+00,8.235265387777364055e+00,6.085528001587015012e-05,2.825657783861351469e+00,3.434802200544679440e+00,-6.091444166833279716e-01
5.023772863019159741e-03,3.000000000000000000e+00,-5.000000000000000000e-01,1.706995291911552970e+00,1.707086568567713902e+00,8.234440120038700073e+00,8.235678025254946633e+00,9.127665616093239009e-05,2.825463886329600438e+00,3.434802200544679440e+00,-6.093383142150790022e-01
5.023772863019159741e-03,3.000000000000000000e+00,2.500000000000000000e-01,1.706995291911552970e+00,1.706949633927054011e+00,8.234440120038700073e+00,8.233821096685746355e+00,-4.565798449895908107e-05,2.826680813042785623e+00,3.434802200544679440e+00,-6.081213875018938175e-01
5.023772863019159741e-03,2.000000000000000000e+00,-5.000000000000000000e-01,1.706995291911552970e+00,1.709412149096925182e+00,8.234440120038700073e+00,8.266740018188427186e+00,2.416857185372212058e-03,2.258777779082554282e+00,2.647166369332992542e+00,-3.883885902504382592e-01
3.169786384922228598e-03,3.000000000000000000e+00,-3.333333333333333148e-01,1.765041274929439519e+00,1.765066176712318802e+00,9.133027941380355230e+00,9.133501065549722853e+00,2.490178287928301870e-05,2.904368649553380699e+00,3.434802200544679440e+00,-5.304335509912987412e-01
3.169786384922228598e-03,3.000000000000000000e+00,-3.333333333333333148e-01,1.765041274929439519e+00,1.765066172531597477e+00,9.133027941380355230e+00,9.133500983536904982e+00,2.489760215795833176e-05,2.903881039649832907e+00,3.434802200544679440e+00,-5.309211608948465333e-01
3.169786384922228598e-03,3.000000000000000000e+00,-5.000000000000000000e-01,1.765041274929439519e+00,1.765078619876104815e+00,9.133027941380355230e+00,9.133737503677869185e+00,3.734494666529641904e-05,2.903767783475078801e+00,3.434802200544679440e+00,-5.310344170696006394e-01
3.169786384922228598e-03,3.000000000000000000e+00,2.500000000000000000e-01,1.765041274929439519e+00,1.765022598002550680e+00,9.133027941380355230e+00,9.132673135058031022e+00,-1.867692688883870744e-05,2.904460358730508673e+00,3.434802200544679440e+00,-5.303418418141707669e-01
3.169786384922228598e-03,2.000000000000000000e+00,-5.000000000000000000e-01,1.765041274929439519e+00,1.766430260016838893e+00,9.133027941380355230e+00,9.159137795513212055e+00,1.388985087399374763e-03,2.308448028510583505e+00,2.647166369332992542e+00,-3.387183408224090364e-01
2.000000000000000475e-03,3.000000000000000000e+00,-3.333333333333333148e-01,1.811885834264768791e+00,1.811895954113435625e+00,1.015909197170891787e+01,1.015936174491915267e+01,1.011984866683413031e-05,2.964799414111560338e+00,3.434802200544679440e+00,-4.700027864331191019e-01
2.000000000000000475e-03,3.000000000000000000e+00,-3.333333333333333148e-01,1.811885834264768791e+00,1.811895953246856594e+00,1.015909197170891787e+01,1.015936172126814974e+01,1.011898208780337427e-05,2.964545533536143473e+00,3.434802200544679440e+00,-4.702566670085359668e-01
2.000000000000000475e-03,3.000000000000000000e+00,-5.000000000000000000e-01,1.811885834264768791e+00,1.811901012420763735e+00,1.015909197170891787e+01,1.015949659546780381e+01,1.517815599494376499e-05,2.964483592762452879e+00,3.434802200544679440e+00,-4.703186077822265609e-01
2.000000000000000475e-03,3.000000000000000000e+00,2.500000000000000000e-01,1.811885834264768791e+00,1.811878244228681822e+00,1.015909197170891787e+01,1.015888965185234127e+01,-7.590036086968510176e-06,2.964857846472073177e+00,3.434802200544679440e+00,-4.699443540726062629e-01
2.000000000000000475e-03,2.000000000000000000e+00,-5.000000000000000000e-01,1.811885834264768791e+00,1.812680420391025837e+00,1.015909197170891787e+01,1.018010329430045324e+01,7.945861262570463879e-04,2.348353629806060994e+00,2.647166369332992542e+00,-2.988127395269315478e-01
1.261914688960386185e-03,3.000000000000000000e+00,-3.333333333333333148e-01,1.849572684311538984e+00,1.849576780447591551e+00,1.132516669017974209e+01,1.132532003035854729e+01,4.096136052567089791e-06,3.014363839470846962e+00,3.434802200544679440e+00,-4.204383610738324784e-01
1.261914688960386185e-03,3.000000000000000000e+00,-3.333333333333333148e-01,1.849572684311538984e+00,1.849576780269745813e+00,1.132516669017974209e+01,1.132532002358190937e+01,4.095958206828953507e-06,3.014232962040224173e+00,3.434802200544679440e+00,-4.205692385044552672e-01
1.261914688960386185e-03,3.000000000000000000e+00,-5.000000000000000000e-01,1.849572684311538984e+00,1.849578828182005363e+00,1.132516669017974209e+01,1.132539669007164740e+01,6.143870466379652839e-06,3.014200168252244794e+00,3.434802200544679440e+00,-4.206020322924346466e-01
1.261914688960386185e-03,3.000000000000000000e+00,2.500000000000000000e-01,1.849572684311538984e+00,1.849569612175221200e+00,1.132516669017974209e+01,1.132505168781965210e+01,-3.072136317783247250e-06,3.014397473588885212e+00,3.434802200544679440e+00,-4.204047269557942279e-01
1.261914688960386185e-03,2.000000000000000000e+00,-5.000000000000000000e-01,1.849572684311538984e+00,1.850025839592072785e+00,1.132516669017974209e+01,1.134202473899426344e+01,4.531552805338012746e-04,2.381604068463531565e+00,2.647166369332992542e+00,-2.655623008694609766e-01
7.962143411069939457e-04,3.000000000000000000e+00,-3.333333333333333148e-01,1.879824191755152807e+00,1.879825845322363964e+00,1.264601902397544642e+01,1.264610600550551922e+01,1.653567211157280781e-06,3.056631962318315576e+00,3.434802200544679440e+00,-3.781702382263638640e-01
7.962143411069939457e-04,3.000000000000000000e+00,-3.333333333333333148e-01,1.879824191755152807e+00,1.879825845286083652e+00,1.264601902397544642e+01,1.264610600357112880e+01,1.653530930845192870e-06,3.056564897876796305e+00,3.434802200544679440e+00,-3.782373026678831351e-01
7.962143411069939457e-04,3.000000000000000000e+00,-5.000000000000000000e-01,1.879824191755152807e+00,1.879826672037796520e+00,1.264601902397544642e+01,1.264614949330711191e+01,2.480282643713138668e-06,3.056547950073354780e+00,3.434802200544679440e+00,-3.782542504713246601e-01
7.962143411069939457e-04,3.000000000000000000e+00,2.500000000000000000e-01,1.879824191755152807e+00,1.879822951571918699e+00,1.264601902397544642e+01,1.264595378858207830e+01,-1.240183234108016563e-06,3.056651250240832507e+00,3.434802200544679440e+00,-3.781509503038469333e-01
7.962143411069939457e-04,2.000000000000000000e+00,-5.000000000000000000e-01,1.879824191755152807e+00,1.880082063337277010e+00,1.264601902397544642e+01,1.265951704867090477e+01,2.578715821242028028e-04,2.410049725256342867e+00,2.647166369332992542e+00,-2.371166440766496741e-01
5.023772863019160175e-04,3.000000000000000000e+00,-3.333333333333333148e-01,1.904066440408823002e+00,1.904067106676520682e+00,1.413871630577621552e+01,1.413876557686068658e+01,6.662676976798564965e-07,3.093642007059210552e+00,3.434802200544679440e+00,-3.411601934854688878e-01
5.023772863019160175e-04,3.000000000000000000e+00,-3.333333333333333148e-01,1.904066440408823002e+00,1.904067106669149245e+00,1.413871630577621552e+01,1.413876557630975483e+01,6.662603262430621953e-07,3.093607779695946913e+00,3.434802200544679440e+00,-3.411944208487325270e-01
5.023772863019160175e-04,3.000000000000000000e+00,-5.000000000000000000e-01,1.904066440408823002e+00,1.904067439796534256e+00,1.413871630577621552e+01,1.413879021156333415e+01,9.993877112535187734e-07,3.093599180068349330e+00,3.434802200544679440e+00,-3.412030204763301100e-01
5.023772863019160175e-04,3.000000000000000000e+00,2.500000000000000000e-01,1.904066440408823002e+00,1.904065940706228366e+00,1.413871630577621552e+01,1.413867935265510312e+01,-4.997025946362754212e-07,3.093653283180422875e+00,3.434802200544679440e+00,-3.411489173642565653e-01
5.023772863019160175e-04,2.000000000000000000e+00,-5.000000000000000000e-01,1.904066440408823002e+00,1.904212943830415616e+00,1.413871630577621552e+01,1.414950815816980523e+01,1.465034215926142025e-04,2.434839206076256257e+00,2.647166369332992542e+00,-2.123271632567362843e-01
3.169786384922228923e-04,3.000000000000000000e+00,-3.333333333333333148e-01,1.923467667649747082e+00,1.923467935721714817e+00,1.582276836402022901e+01,1.582279624567589593e+01,2.680719677350396069e-07,3.126602712296041808e+00,3.434802200544679440e+00,-3.081994882486376319e-01
3.169786384922228923e-04,3.000000000000000000e+00,-3.333333333333333148e-01,1.923467667649747082e+00,1.923467935720220012e+00,1.582276836402022901e+01,1.582279624551918396e+01,2.680704729307592515e-07,3.126585277951239750e+00,3.434802200544679440e+00,-3.082169225934396906e-01
3.169786384922228923e-04,3.000000000000000000e+00,-5.000000000000000000e-01,1.923467667649747082e+00,1.923468069754951548e+00,1.582276836402022901e+01,1.582281018627326041e+01,4.021052044667072778e-07,3.126581351856955848e+00,3.434802200544679440e+00,-3.082208486877235920e-01
3.169786384922228923e-04,3.000000000000000000e+00,2.500000000000000000e-01,1.923467667649747082e+00,1.923467466595210063e+00,1.582276836402022901e+01,1.582274745280631301e+01,-2.010545370190186532e-07,3.126611439827530869e+00,3.434802200544679440e+00,-3.081907607171485708e-01
3.169786384922228923e-04,2.000000000000000000e+00,-5.000000000000000000e-01,1.923467667649747082e+00,1.923550792836874912e+00,1.582276836402022901e+01,1.583138720638815045e+01,8.312518712783045771e-05,2.456717131967637080e+00,2.647166369332992542e+00,-1.904492373653554615e-01
2.000000000000000367e-04,3.000000000000000000e+00,-3.333333333333333148e-01,1.938978284534875085e+00,1.938978392268708939e+00,1.772033098970686282e+01,1.772034675527241632e+01,1.077338338539846063e-07,3.156264663690954375e+00,3.434802200544679440e+00,-2.785375368537250651e-01
2.000000000000000367e-04,3.000000000000000000e+00,-3.333333333333333148e-01,1.938978284534875085e+00,1.938978392268406514e+00,1.772033098970686282e+01,1.772034675522784042e+01,1.077335314292326984e-07,3.156255803590800824e+00,3.434802200544679440e+00,-2.785463969538786166e-01
2.000000000000000367e-04,3.000000000000000000e+00,-5.000000000000000000e-01,1.938978284534875085e+00,1.938978446135111611e+00,1.772033098970686282e+01,1.772035463799841182e+01,1.616002365256719031e-07,3.156254619642028469e+00,3.434802200544679440e+00,-2.785475809026509708e-01
