t,tau,detuning,population,dP_dtau,heat_power,mutual_information
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.642085061828095488e-13
2.000000000000000042e-03,1.600000000000000077e-03,1.999999893333340270e-04,9.999988208784550414e-01,-1.473901496868764783e-03,-1.178885373268090224e-03,3.455000698171627752e-05
4.000000000000000083e-03,3.200000000000000153e-03,3.999999146666885302e-04,9.999952835214438451e-01,-2.947793463669053007e-03,-2.357291477228104330e-03,1.251229478517343558e-04
6.000000000000000125e-03,4.800000000000000447e-03,5.999997120001658970e-04,9.999893879518376716e-01,-4.421666371755362916e-03,-3.535210698564598963e-03,2.643146078234163586e-04
8.000000000000000167e-03,6.400000000000000307e-03,7.999993173340324464e-04,9.999811342077518095e-01,-5.895510694149002674e-03,-4.712635431694678877e-03,4.481814496959953638e-04
1.000000000000000021e-02,8.000000000000000167e-03,9.999986666688000150e-04,9.999705223425436884e-01,-7.369316905634516919e-03,-5.889558078843698530e-03,6.739690959939176329e-04
1.200000000000000025e-02,9.600000000000000894e-03,1.199997696005308465e-03,9.999575524248097702e-01,-8.843075482856092503e-03,-7.065971050120851797e-03,9.395532675068991001e-04
1.400000000000000029e-02,1.120000000000000162e-02,1.399996341344806943e-03,9.999422245383815522e-01,-1.031677690441394624e-02,-8.241866763594637643e-03,1.243202852883258918e-03
1.600000000000000033e-02,1.280000000000000061e-02,1.599994538689036285e-03,9.999245387823243458e-01,-1.179041165096068010e-02,-9.417237645368198296e-03,1.583456153302092387e-03
1.800000000000000211e-02,1.440000000000000308e-02,1.799992224040310868e-03,9.999044952709308376e-01,-1.326397020529760176e-02,-1.059207612965453078e-02,1.959047829786581246e-03
2.000000000000000042e-02,1.600000000000000033e-02,1.999989333401599491e-03,9.998820941337219770e-01,-1.473744305247104772e-02,-1.176637465885159439e-02,2.368862096591928257e-03
2.199999999999999872e-02,1.760000000000000106e-02,2.199985802776609732e-03,9.998573355154382059e-01,-1.621082067986864828e-02,-1.294012568361726546e-02,2.811900901200840071e-03
2.400000000000000050e-02,1.920000000000000179e-02,2.399981568169867741e-03,9.998302195760402356e-01,-1.768409357731554055e-02,-1.411332166294415602e-02,3.287261296719330185e-03
2.600000000000000228e-02,2.080000000000000251e-02,2.599976565586799987e-03,9.998007464907012753e-01,-1.915725223717063691e-02,-1.528595506423436820e-02,3.794118771216804797e-03
2.800000000000000058e-02,2.240000000000000324e-02,2.799970731033816530e-03,9.997689164498063663e-01,-2.063028715442272870e-02,-1.645801836337401972e-02,4.331714608639401429e-03
2.999999999999999889e-02,2.400000000000000050e-02,2.999964000518392550e-03,9.997347296589458310e-01,-2.210318882678665581e-02,-1.762950404480770686e-02,4.899346076965439833e-03
3.200000000000000067e-02,2.560000000000000123e-02,3.199956310049149443e-03,9.996981863389099443e-01,-2.357594775479939994e-02,-1.880040460161283219e-02,5.496358658002664307e-03
3.400000000000000244e-02,2.720000000000000195e-02,3.399947595635937660e-03,9.996592867256881565e-01,-2.504855444191609812e-02,-1.997071253557372236e-02,6.122139788634543486e-03
3.600000000000000422e-02,2.880000000000000615e-02,3.599937793289918666e-03,9.996180310704605443e-01,-2.652099939460613592e-02,-2.114042035725573893e-02,6.776113745300417143e-03
3.799999999999999906e-02,3.039999999999999994e-02,3.799926839023644309e-03,9.995744196395942582e-01,-2.799327312244899446e-02,-2.230952058607910474e-02,7.457737408963389936e-03
4.000000000000000083e-02,3.200000000000000067e-02,3.999914668851143121e-03,9.995284527146393039e-01,-2.946536613823026729e-02,-2.347800575039270948e-02,8.166496719451427772e-03
4.200000000000000261e-02,3.360000000000000486e-02,4.199901218788000545e-03,9.994801305923222134e-01,-3.093726895803747268e-02,-2.464586838754771053e-02,8.901903677239324589e-03
4.399999999999999745e-02,3.520000000000000212e-02,4.399886424851435704e-03,9.994294535845416050e-01,-3.240897210135589013e-02,-2.581310104397099847e-02,9.663493785423813223e-03
4.599999999999999922e-02,3.679999999999999938e-02,4.599870223060392900e-03,9.993764220183607438e-01,-3.388046609116433100e-02,-2.697969627523854122e-02,1.045082384980264983e-02
4.800000000000000100e-02,3.840000000000000357e-02,4.799852549435615345e-03,9.993210362360047672e-01,-3.535174145403080503e-02,-2.814564664614855466e-02,1.126347007310009828e-02
5.000000000000000278e-02,4.000000000000000777e-02,4.999833339999730161e-03,9.992632965948524681e-01,-3.682278872020825627e-02,-2.931094473079455531e-02,1.210102639327439999e-02
5.200000000000000455e-02,4.160000000000000503e-02,5.199812530777331646e-03,9.992032034674319663e-01,-3.829359842373005612e-02,-3.047558311263823608e-02,1.296310302582992860e-02
5.399999999999999939e-02,4.320000000000000229e-02,5.399790057795058468e-03,9.991407572414126026e-01,-3.976416110250563518e-02,-3.163955438458221359e-02,1.384932517816079081e-02
5.600000000000000117e-02,4.480000000000000648e-02,5.599765857081681272e-03,9.990759583196010540e-01,-4.123446729841590691e-02,-3.280285114904263333e-02,1.475933190979326903e-02
5.800000000000000294e-02,4.640000000000000374e-02,5.799739864668182476e-03,9.990088071199332287e-01,-4.270450755740866355e-02,-3.396546601802155618e-02,1.569277511737275296e-02
5.999999999999999778e-02,4.800000000000000100e-02,5.999712016587833464e-03,9.989393040754690478e-01,-4.417427242959398592e-02,-3.512739161317929987e-02,1.664931862675873495e-02
6.199999999999999956e-02,4.960000000000000520e-02,6.199682248876283927e-03,9.988674496343834530e-01,-4.564375246933945196e-02,-3.628862056590655139e-02,1.762863737776430156e-02
6.400000000000000133e-02,5.120000000000000245e-02,6.399650497571639923e-03,9.987932442599615213e-01,-4.711293823536539388e-02,-3.744914551739630254e-02,1.863041668926498223e-02
6.600000000000000311e-02,5.280000000000000665e-02,6.599616698714544545e-03,9.987166884305913594e-01,-4.858182029083998876e-02,-3.860895911871568831e-02,1.965435159453372133e-02
6.800000000000000488e-02,5.440000000000000391e-02,6.799580788348261184e-03,9.986377826397555557e-01,-5.005038920347439080e-02,-3.976805403087767948e-02,2.070014623813526064e-02
7.000000000000000666e-02,5.600000000000000810e-02,6.999542702518756800e-03,9.985565273960250732e-01,-5.151863554561765535e-02,-4.092642292491248390e-02,2.176751332696744146e-02
7.200000000000000844e-02,5.760000000000001230e-02,7.199502377274779111e-03,9.984729232230511453e-01,-5.298654989435173934e-02,-4.208405848193901705e-02,2.285617362921678677e-02
7.399999999999999634e-02,5.920000000000000262e-02,7.399459748667944203e-03,9.983869706595587257e-01,-5.445412283158621719e-02,-4.324095339323590081e-02,2.396585551577658235e-02
7.599999999999999811e-02,6.079999999999999988e-02,7.599414752752816325e-03,9.982986702593361628e-01,-5.592134494415317708e-02,-4.439710036031264268e-02,2.509629453953337447e-02
7.799999999999999989e-02,6.240000000000000407e-02,7.799367325586986817e-03,9.982080225912304261e-01,-5.738820682390177730e-02,-4.555249209498032914e-02,2.624723304836066792e-02
8.000000000000000167e-02,6.400000000000000133e-02,7.999317403231157378e-03,9.981150282391361150e-01,-5.885469906779287885e-02,-4.670712131942236084e-02,2.741841982845648340e-02
8.200000000000000344e-02,6.560000000000000553e-02,8.199264921749225069e-03,9.980196878019899076e-01,-6.032081227799358791e-02,-4.786098076626497250e-02,2.860960977480566519e-02
8.400000000000000522e-02,6.720000000000000973e-02,8.399209817208357770e-03,9.979220018937591252e-01,-6.178653706197165946e-02,-4.901406317864755169e-02,2.982056358622053177e-02
8.600000000000000699e-02,6.880000000000001392e-02,8.599152025679080921e-03,9.978219711434361816e-01,-6.325186403258978296e-02,-5.016636131029277024e-02,3.105104748244607443e-02
8.799999999999999489e-02,7.040000000000000424e-02,8.799091483235359917e-03,9.977195961950281466e-01,-6.471678380819986809e-02,-5.131786792557661153e-02,3.230083294137774813e-02
8.999999999999999667e-02,7.199999999999999456e-02,8.999028125954681642e-03,9.976148777075478646e-01,-6.618128701273721937e-02,-5.246857579959817580e-02,3.356969645446405970e-02
9.199999999999999845e-02,7.359999999999999876e-02,9.198961889918125592e-03,9.975078163550065158e-01,-6.764536427581448186e-02,-5.361847771824931885e-02,3.485741929865743272e-02
9.400000000000000022e-02,7.520000000000000295e-02,9.398892711210462755e-03,9.973984128264019589e-01,-6.910900623281573951e-02,-5.476756647828411040e-02,3.616378732352277386e-02
9.600000000000000200e-02,7.680000000000000715e-02,9.598820525920225000e-03,9.972866678257108486e-01,-7.057220352499023186e-02,-5.591583488738811197e-02,3.748859075210523445e-02
9.800000000000000377e-02,7.840000000000001135e-02,9.798745270139790076e-03,9.971725820718800870e-01,-7.203494679954619562e-02,-5.706327576424750220e-02,3.883162399444706203e-02
1.000000000000000056e-01,8.000000000000001554e-02,9.998666879965464882e-03,9.970561562988159432e-01,-7.349722670974458139e-02,-5.820988193861804244e-02,4.019268547272802916e-02
1.020000000000000073e-01,8.160000000000000586e-02,1.019858529149757047e-02,9.969373912553732842e-01,-7.495903391499243729e-02,-5.935564625139370248e-02,4.157157745706155372e-02
1.040000000000000091e-01,8.320000000000001006e-02,1.039850044084050969e-02,9.968162877053483584e-01,-7.642035908093651464e-02,-6.050056155467536251e-02,4.296810591106098309e-02
1.059999999999999970e-01,8.480000000000000038e-02,1.059841226410286434e-02,9.966928464274672494e-01,-7.788119287955654058e-02,-6.164462071183911263e-02,4.438208034650492628e-02
1.079999999999999988e-01,8.640000000000000457e-02,1.079832069739747324e-02,9.965670682153747739e-01,-7.934152598925846289e-02,-6.278781659760443445e-02,4.581331368635419010e-02
1.100000000000000006e-01,8.800000000000000877e-02,1.099822567684150508e-02,9.964389538776252664e-01,-8.080134909496759776e-02,-6.393014209810231330e-02,4.726162213547849961e-02
1.120000000000000023e-01,8.960000000000001297e-02,1.119812713855655034e-02,9.963085042376735867e-01,-8.226065288822154153e-02,-6.507159011094286460e-02,4.872682505854399743e-02
1.140000000000000041e-01,9.120000000000000329e-02,1.139802501866870113e-02,9.961757201338607981e-01,-8.371942806726324904e-02,-6.621215354528316166e-02,5.020874486460614322e-02
1.160000000000000059e-01,9.280000000000000748e-02,1.159791925330862575e-02,9.960406024194056185e-01,-8.517766533713364008e-02,-6.735182532189458449e-02,5.170720689781126839e-02
1.180000000000000077e-01,9.440000000000001168e-02,1.179780977861165543e-02,9.959031519623943174e-01,-8.663535540976433080e-02,-6.849059837323001609e-02,5.322203933385970254e-02
1.199999999999999956e-01,9.600000000000000200e-02,1.199769653071786762e-02,9.957633696457675043e-01,-8.809248900407025407e-02,-6.962846564349105261e-02,5.475307308185314165e-02
1.219999999999999973e-01,9.760000000000000620e-02,1.219757944577216403e-02,9.956212563673101368e-01,-8.954905684604193283e-02,-7.076542008869469991e-02,5.630014169109569255e-02
1.239999999999999991e-01,9.920000000000001039e-02,1.239745845992435737e-02,9.954768130396394188e-01,-9.100504966883783686e-02,-7.190145467674005642e-02,5.786308126257699858e-02
1.260000000000000009e-01,1.008000000000000007e-01,1.259733350932924593e-02,9.953300405901953640e-01,-9.246045821287671163e-02,-7.303656238747496809e-02,5.944173036478157812e-02
1.280000000000000027e-01,1.024000000000000049e-01,1.279720453014669690e-02,9.951809399612250306e-01,-9.391527322592937987e-02,-7.417073621276204509e-02,6.103592995364198748e-02
1.300000000000000044e-01,1.040000000000000091e-01,1.299707145854172956e-02,9.950295121097745277e-01,-9.536948546321084852e-02,-7.530396915654492818e-02,6.264552329622644078e-02
1.320000000000000062e-01,1.056000000000000133e-01,1.319693423068459513e-02,9.948757580076762475e-01,-9.682308568747199917e-02,-7.643625423491400006e-02,6.427035589805890625e-02
1.340000000000000080e-01,1.072000000000000175e-01,1.339679278275087045e-02,9.947196786415343217e-01,-9.827606466909132032e-02,-7.756758447617222163e-02,6.591027543381902665e-02
1.360000000000000098e-01,1.088000000000000078e-01,1.359664705092150996e-02,9.945612750127148516e-01,-9.972841318616637585e-02,-7.869795292090048244e-02,6.756513168115033108e-02
1.380000000000000115e-01,1.104000000000000120e-01,1.379649697138296202e-02,9.944005481373335842e-01,-1.011801220246052041e-01,-7.982735262202286797e-02,6.923477645746672904e-02
1.400000000000000133e-01,1.120000000000000162e-01,1.399634248032722260e-02,9.942374990462414797e-01,-1.026311819782177448e-01,-8.095577664487185743e-02,7.091906355957788843e-02
