t,tau,detuning,population,dP_dtau,heat_power,mutual_information
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.642085061828095488e-13
2.000000000000000042e-03,1.600000000000000077e-03,1.999999893333340270e-04,9.999985887980549215e-01,-1.764001809007308911e-03,-1.410919206931458792e-03,4.084319880922381230e-05
4.000000000000000083e-03,3.200000000000000153e-03,3.999999146666885302e-04,9.999943552114786138e-01,-3.527979544457369478e-03,-2.821254682352513071e-03,1.477215754685943171e-04
6.000000000000000125e-03,4.800000000000000447e-03,5.999997120001658970e-04,9.999872992980517461e-01,-5.291909127183208432e-03,-4.230987186584773962e-03,3.117729435918461340e-04
8.000000000000000167e-03,6.400000000000000307e-03,7.999993173340324464e-04,9.999774211540872759e-01,-7.055766472443602243e-03,-5.640097491265903991e-03,5.282766175778958817e-04
1.000000000000000021e-02,8.000000000000000167e-03,9.999986666688000150e-04,9.999647209144363336e-01,-8.819527490664568620e-03,-7.048566379946605460e-03,7.939348370906211495e-04
1.200000000000000025e-02,9.600000000000000894e-03,1.199997696005308465e-03,9.999491987524973258e-01,-1.058316808818125787e-02,-8.456374648687203788e-03,1.106203691872626729e-03
1.400000000000000029e-02,1.120000000000000162e-02,1.399996341344806943e-03,9.999308548802210428e-01,-1.234666416798016995e-02,-9.863503106653747493e-03,1.463009575683485615e-03
1.600000000000000033e-02,1.280000000000000061e-02,1.599994538689036285e-03,9.999096895481158764e-01,-1.410999163044168551e-02,-1.126993257671362464e-02,1.862601087672053398e-03
1.800000000000000211e-02,1.440000000000000308e-02,1.799992224040310868e-03,9.998857030452508177e-01,-1.587312637408283544e-02,-1.267564389603062329e-02,2.303461613534165883e-03
2.000000000000000042e-02,1.600000000000000033e-02,1.999989333401599491e-03,9.998588956992586763e-01,-1.763604429630030029e-02,-1.408061791665944119e-02,2.784253317100078822e-03
2.199999999999999872e-02,1.760000000000000106e-02,2.199985802776609732e-03,9.998292678763360808e-01,-1.939872129411356061e-02,-1.548483550613959266e-02,3.303779066818657555e-03
2.400000000000000050e-02,1.920000000000000179e-02,2.399981568169867741e-03,9.997968199812440337e-01,-2.116113326490820512e-02,-1.688827754808867182e-02,3.860955363120604014e-03
2.600000000000000228e-02,2.080000000000000251e-02,2.599976565586799987e-03,9.997615524573078005e-01,-2.292325610717927883e-02,-1.829092494279493594e-02,4.454792394205672398e-03
2.800000000000000058e-02,2.240000000000000324e-02,2.799970731033816530e-03,9.997234657864132457e-01,-2.468506572127471960e-02,-1.969275860780920692e-02,5.084378916450180141e-03
2.999999999999999889e-02,2.400000000000000050e-02,2.999964000518392550e-03,9.996825604890026140e-01,-2.644653801013875996e-02,-2.109375947853600261e-02,5.748870517840846267e-03
3.200000000000000067e-02,2.560000000000000123e-02,3.199956310049149443e-03,9.996388371240720883e-01,-2.820764888005526660e-02,-2.249390850882390658e-02,6.447480324409357241e-03
3.400000000000000244e-02,2.720000000000000195e-02,3.399947595635937660e-03,9.995922962891640173e-01,-2.996837424139106240e-02,-2.389318667155514164e-02,7.179471515362014986e-03
3.600000000000000422e-02,2.880000000000000615e-02,3.599937793289918666e-03,9.995429386203609212e-01,-3.172869000933904032e-02,-2.529157495923427604e-02,7.944151205910464017e-03
3.799999999999999906e-02,3.039999999999999994e-02,3.799926839023644309e-03,9.994907647922751659e-01,-3.348857210466113510e-02,-2.668905438457604487e-02,8.740865383735897665e-03
4.000000000000000083e-02,3.200000000000000067e-02,3.999914668851143121e-03,9.994357755180425240e-01,-3.524799645443110752e-02,-2.808560598109233197e-02,9.568994670150519216e-03
4.200000000000000261e-02,3.360000000000000486e-02,4.199901218788000545e-03,9.993779715493084082e-01,-3.700693899277700954e-02,-2.948121080367810745e-02,1.042795073626621993e-02
4.399999999999999745e-02,3.520000000000000212e-02,4.399886424851435704e-03,9.993173536762188780e-01,-3.876537566162339271e-02,-3.087584992919644236e-02,1.131717324572881211e-02
4.599999999999999922e-02,3.679999999999999938e-02,4.599870223060392900e-03,9.992539227274043201e-01,-4.052328241143308973e-02,-3.226950445706246173e-02,1.223612722588577305e-02
4.800000000000000100e-02,3.840000000000000357e-02,4.799852549435615345e-03,9.991876795699685676e-01,-4.228063520194882269e-02,-3.366215550982639554e-02,1.318430079080857784e-02
5.000000000000000278e-02,4.000000000000000777e-02,4.999833339999730161e-03,9.991186251094716919e-01,-4.403741000293401320e-02,-3.505378423375528352e-02,1.416120315625965173e-02
