a_eff,d,theta,ell_critical,tau_tangent,ell_minus_leading,ell_minus_two_term,tau_over_theta,imag_q,ell_linear_exact,tau_linear_exact,ell_tanh_minus_linear,scaled_profile_difference
9.999999999999999547e-07,6.250000000000000000e-01,6.250000000000000000e+05,1.995590556802706139e+00,6.647127409814750365e+01,3.343974086456036332e-05,1.122636941186527793e-07,1.063540385570360008e-04,9.988637958510586667e-01,1.995590556799855753e+00,6.647127407658184950e+01,2.850386593422626902e-12,1.113432263055713634e+00
1.492917902926562846e-06,6.250000000000000000e-01,4.186432480813675211e+05,1.994616645953439571e+00,6.012408758611892523e+01,4.518334489023168032e-05,1.712335799819442173e-07,1.436165228071066362e-04,9.986083754716444938e-01,1.994616645947091316e+00,6.012408755047440678e+01,6.348255254806645098e-12,1.112608986364919561e+00
2.228803864878646110e-06,6.250000000000000000e-01,2.804194706625879044e+05,1.993428195631842259e+00,5.438334245941955913e+01,6.105511082576953186e-05,2.617254084569253791e-07,1.939356861737172441e-04,9.982950939810576463e-01,1.993428195617718668e+00,5.438334240060870428e+01,1.412359118546646641e-11,1.110609716071556674e+00
3.327421191989240044e-06,6.250000000000000000e-01,1.878331488375100307e+05,1.991978147876234173e+00,4.919136972828771803e+01,8.250853463720453362e-05,4.009506355817649137e-07,2.618886497550120527e-04,9.979106851389997201e-01,1.991978147844835734e+00,4.919136963132810081e+01,3.139843940402897715e-11,1.107777502747686826e+00
4.967566668097980843e-06,6.250000000000000000e-01,1.258161272426978248e+05,1.990209195648845908e+00,4.449601273479117225e+01,1.115103126165806202e-04,6.157588043897987973e-07,3.536590555593790205e-04,9.974387836091161974e-01,1.990209195579076384e+00,4.449601257501937113e+01,6.976952349191378744e-11,1.104430477714410941e+00
7.416169212784730234e-06,6.250000000000000000e-01,8.427531547184263763e+04,1.988051577329921216e+00,4.025010338822197298e+01,1.507224486247960016e-04,9.481955551837728535e-07,4.776025240946146430e-04,9.968591799496731021e-01,1.988051577174956730e+00,4.025010312504640098e+01,1.549644856879694998e-10,1.100608729350111892e+00
1.107173178889911862e-05,6.250000000000000000e-01,5.645006688354259677e+04,1.985420406731813525e+00,3.641098860628712686e+01,2.037495737690075970e-04,1.464374798976209036e-06,6.450123200279565382e-04,9.961468887946508532e-01,1.985420406387723657e+00,3.641098817286992784e+01,3.440898677098402914e-10,1.096480230945264367e+00
1.652918660404859954e-05,6.250000000000000000e-01,3.781190296725882217e+04,1.982212444873451052e+00,3.294010224769805717e+01,2.754752312701391759e-04,2.268716240205748136e-06,8.711569548938269793e-04,9.952709803247975495e-01,1.982212444109921590e+00,3.294010153425866605e+01,7.635294618779653320e-10,1.091648617410699407e+00
2.467671860199807207e-05,6.250000000000000000e-01,2.532751659896116689e+04,1.978302202619310224e+00,2.980257829787223045e+01,3.725198131669937851e-04,3.526924736263481464e-06,1.176687741232972399e-03,9.941931112143514992e-01,1.978302200925257770e+00,2.980257712348788601e+01,1.694052453871108810e-09,1.086706014709379220e+00
3.684031498640386216e-05,6.250000000000000000e-01,1.696511010371816883e+04,1.973537243923780160e+00,2.696690150475525982e+01,5.038653260740488804e-04,5.503302395570841554e-06,1.589550633028019230e-03,9.928656713700261260e-01,1.973537240167336781e+00,2.696689957235640378e+01,3.756443378577500880e-09,1.081160603870205517e+00
5.499956579265608697e-05,6.250000000000000000e-01,1.136372607660575704e+04,1.967732538137565435e+00,2.440459207937139396e+01,6.817097995419629797e-04,8.621741663050741522e-06,2.147587148339713189e-03,9.912294393133236348e-01,1.967732529811627717e+00,2.440458890050684815e+01,8.325937717046372200e-09,1.075163892021452128e+00
8.210983642504364314e-05,6.250000000000000000e-01,7.611755512027471013e+03,1.960663687414042622e+00,2.208992146041254401e+01,9.226392869698951671e-04,1.356613907010917330e-05,2.902079740410456587e-03,9.892106038207328922e-01,1.960663668969565343e+00,2.208991623266296500e+01,1.844447727883391508e-08,1.068651285478088298e+00
1.225832448053191387e-04,6.250000000000000000e-01,5.098576081850298579e+03,1.952058833512831937e+00,1.999965653164803570e+01,1.249241773597420391e-03,2.144701693995720859e-05,3.922596468226097199e-03,9.867169661860492047e-01,1.952058792675866572e+00,1.999964793737492741e+01,4.083696536483216732e-08,1.061576437277134133e+00
1.830067207686903537e-04,6.250000000000000000e-01,3.415175122393253332e+03,1.941589030760640489e+00,1.811283006686233321e+01,1.692340764792410468e-03,3.408040592201011521e-05,5.303631415003222382e-03,9.836330763543634781e-01,1.941588940402591668e+00,1.811281594360484348e+01,9.035804882095987978e-08,1.053883974674401536e+00
2.732140097914602622e-04,6.250000000000000000e-01,2.287584009608629458e+03,1.928856865450530034e+00,1.641053559242298121e+01,2.294106595293499140e-03,5.445912743251568600e-05,7.173741171250175470e-03,9.798139750357836020e-01,1.928856665661812464e+00,1.641051239368095338e+01,1.997887175697599105e-07,1.045502470667690975e+00
4.078860865480238383e-04,6.250000000000000000e-01,1.532290560066489434e+03,1.913383119532700460e+00,1.487574532429027308e+01,3.112427063044043152e-03,8.755780565383730618e-05,9.708175271695717451e-03,9.750771039594768874e-01,1.913382678147159455e+00,1.487570723887675861e+01,4.413855410057010431e-07,1.036335450230609245e+00
6.089404409621982685e-04,6.250000000000000000e-01,1.026372955313044713e+03,1.894591342875987516e+00,1.349315039652330483e+01,4.227114922539909614e-03,1.417246298243135527e-04,1.314643992388505808e-02,9.691917981395695714e-01,1.894590368693998883e+00,1.349308791347430869e+01,9.741819886333047407e-07,1.026243680238234646e+00
9.090980861284614616e-04,6.250000000000000000e-01,6.874945724082004972e+02,1.871790361596708419e+00,1.224902330856787813e+01,5.748851225961582045e-03,2.311205660205928325e-04,1.781690183481915435e-02,9.618655824006184796e-01,1.871788214074046941e+00,1.224892088754861064e+01,2.147522661477552219e-06,1.015023981197230807e+00
1.357208808297453214e-03,6.250000000000000000e-01,4.605039373300483589e+02,1.844155104330295947e+00,1.113110346342043400e+01,7.832311219769572119e-03,3.800607726240912143e-04,2.417157066659920278e-02,9.527262453223817040e-01,1.844150377636712079e+00,1.113093577272870505e+01,4.726693583867458415e-06,1.002360963460620757e+00
2.026201327916893336e-03,6.250000000000000000e-01,3.084589825249759087e+02,1.810706864108614811e+00,1.012850793933773019e+01,1.069589152512917529e-02,6.308774550924933777e-04,3.283583397840465073e-02,9.412983974813017296e-01,1.810696482753077596e+00,1.012823383492631990e+01,1.038135553721453164e-05,9.877542529088704226e-01
3.024952237380702357e-03,6.250000000000000000e-01,2.066148325506077299e+02,1.770295623461775492e+00,9.231671311528291568e+00,1.465225592808572230e-02,1.058441690556799486e-03,4.468058366171319407e-02,9.269730116911694129e-01,1.770272892319801894e+00,9.231224339587820182e+00,2.273114197359760169e-05,9.703853821477450570e-01
4.516005350683412016e-03,6.250000000000000000e-01,1.383966473612388484e+02,1.721590185228417447e+00,8.432320259840318855e+00,2.015738464740279845e-02,1.797570717826157960e-03,6.092864545938403431e-02,9.089686294857468596e-01,1.721540644896826899e+00,8.431594047252128021e+00,4.954033159054738178e-05,9.488772804844923803e-01
6.742025237747409881e-03,6.250000000000000000e-01,9.270211515980913930e+01,1.663088360942954980e+00,7.723489821010600664e+00,2.789275225075527054e-02,3.095976184912307971e-03,8.331514127478191478e-02,8.862844338515570852e-01,1.662981207205603162e+00,7.722316600963865518e+00,1.071537373518172132e-04,9.208451605328534795e-01
1.006529017941582525e-02,6.250000000000000000e-01,6.209458335122476313e+01,1.593173244747301265e+00,7.099584267673106019e+00,3.890956198654960119e-02,5.419020872239554976e-03,1.143350012917523362e-01,8.576509155844682653e-01,1.592944485952639821e+00,7.097705980627459610e+00,2.287587946614433321e-04,8.820338130613589733e-01
1.502665190700080110e-02,6.250000000000000000e-01,4.159276489986550729e+01,1.510270745336160569e+00,6.556462087167648001e+00,5.489375218580327953e-02,9.661406611884304496e-03,1.576346776405058991e-01,8.215007766129943656e-01,1.509794070367765029e+00,6.553498224038712294e+00,4.766749683955406880e-04,8.246277188370908506e-01
2.243355765300707183e-02,6.250000000000000000e-01,2.786004831098302503e+01,1.413222615573002994e+00,6.091434299179412371e+00,7.867034356403079798e-02,1.757950961377829913e-02,2.186440680642337264e-01,7.760302565338474956e-01,1.412276997825166580e+00,6.086859532514139026e+00,9.456177478364136135e-04,7.339717507678189534e-01
3.349145984650939850e-02,6.250000000000000000e-01,1.866147378658203593e+01,1.302088600634421223e+00,5.702774953512895983e+00,1.151660379059478156e-01,3.265671973145001239e-02,3.055908133908106783e-01,7.195415019329430839e-01,1.300415021021234629e+00,5.695897019625126845e+00,1.673579613186593207e-03,5.828251109456857870e-01
5.000000000000000278e-02,6.250000000000000000e-01,1.250000000000000000e+01,1.179636682504871859e+00,5.387607206328307363e+00,1.730955090844819022e-01,6.165837284953945563e-02,4.310085765062645624e-01,6.514879564776829834e-01,1.177553738667397765e+00,5.377177582911341958e+00,2.082943837474093840e-03,3.254599746053271070e-01
